Attributes   Adj Close              ...        Volume              
Symbols           AAPL       CHV.F  ...          GOOG          TSLA
count       252.000000  255.000000  ...  2.520000e+02  2.520000e+02
mean        140.612222   85.793183  ...  1.264171e+06  2.738738e+07
std          14.841203    9.231161  ...  4.950437e+05  1.211844e+07
min         115.819870   65.718765  ...  5.933000e+05  9.800600e+06
25%         128.172340   81.460060  ...  9.306500e+05  1.882452e+07
50%         141.046982   84.241997  ...  1.138550e+06  2.478520e+07
75%         148.682220   89.032871  ...  1.420500e+06  3.257585e+07
max         180.330002  105.419998  ...  4.118200e+06  8.939650e+07

[8 rows x 36 columns]
